204	16
297	1
203	583
349	5
599	324
555	142
506	82
367	8
272	598
81	505
428	29
146	43
247	5
435	33
312	599
424	27
93	517
380	589
479	540
286	1
372	591
345	596
141	554
250	5
48	462
570	430
0	300
499	524
88	512
0	300
87	511
61	481
516	508
533	112
195	581
90	514
376	590
430	570
144	44
33	164
216	588
260	597
53	470
521	502
257	596
398	17
151	40
486	65
326	2
519	505
234	592
19	195
488	67
374	10
287	599
214	587
220	11
441	564
142	45
400	18
209	15
584	204
446	562
329	2
239	7
552	138
143	555
503	520
416	24
341	3
78	501
424	573
545	127
557	146
329	2
298	599
242	6
396	584
438	34
154	38
529	493
226	10
440	35
193	20
35	440
478	59
58	123
144	556
563	444
294	1
161	35
133	51
80	503
564	158
157	37
51	467
411	578
170	30
304	1
278	599
358	6
206	584
317	1
580	407
45	458
22	188
410	579
156	563
520	97
373	10
486	65
58	477
359	6
348	4
75	102
377	589
444	563
521	98
140	553
303	1
20	193
114	65
207	585
52	132
46	459
458	45
316	599
266	2
537	117
595	354
340	3
222	589
226	590
138	48
371	9
189	22
443	37
414	577
166	32
271	598
389	586
65	114
189	578
455	556
102	75
69	491
425	28
265	3
19	195
511	513
366	8
338	3
175	28
582	198
418	25
595	246
65	486
332	2
364	593
598	334
506	518
500	77
461	47
103	526
588	216
90	514
114	535
323	599
347	4
182	575
503	80
356	6
63	483
176	27
85	91
218	588
144	556
229	9
524	101
339	3
312	1
152	40
185	23
379	11
4	348
57	475
425	28
332	598
155	38
521	502
339	3
159	564
493	529
363	7
250	595
281	1
540	120
324	1
360	593
279	1
430	30
596	252
412	22
353	5
344	4
27	424
548	468
330	2
484	64
372	591
499	76
149	559
555	142
172	571
140	553
137	49
404	19
331	2
332	2
470	53
411	578
449	560
51	467
557	454
137	49
26	178
475	57
132	548
234	8
538	482
263	597
351	595
186	577
321	1
565	160
199	18
431	31
104	73
372	9
447	39
170	570
506	82
326	2
497	74
157	563
499	76
327	2
76	499
525	498
188	578
299	1
321	599
33	436
420	574
491	69
561	153
96	81
392	585
504	519
456	44
303	1
507	83
510	514
93	517
8	232
70	492
506	82
551	136
452	558
241	594
340	597
481	61
346	4
519	505
357	6
94	82
116	536
214	587
146	557
589	380
80	503
276	599
454	557
229	9
5	246
114	65
139	553
481	539
481	61
517	507
82	94
422	574
505	519
583	201
149	559
104	527
105	73
530	108
452	558
216	12
15	393
229	591
180	574
480	60
508	84
316	599
353	5
420	574
194	580
411	578
37	444
482	62
590	224
91	85
486	535
66	487
207	15
348	596
299	1
367	592
229	9
89	87
