30	17
449	6
337	311
286	287
228	303
341	484
436	230
547	140
247	406
396	586
567	333
573	429
71	193
336	201
14	58
138	409
529	332
169	318
333	319
505	345
130	173
534	169
443	255
499	210
25	572
129	226
543	351
571	241
1	196
142	21
406	248
270	54
508	522
60	332
90	521
83	84
16	347
370	465
43	70
436	165
54	23
299	331
130	542
315	575
413	346
42	45
544	510
133	147
123	471
6	564
51	481
586	402
236	437
366	143
297	513
202	424
376	76
206	319
155	396
297	395
97	150
8	278
195	217
363	187
226	24
59	2
581	26
456	481
344	496
255	368
289	450
249	529
548	270
518	355
79	22
56	242
111	157
165	548
585	453
564	282
29	72
488	49
564	362
562	44
370	79
408	312
174	470
220	139
567	233
88	66
345	520
437	398
53	449
59	322
422	567
379	356
432	164
560	357
347	371
235	191
